language,language_name,hamming_distance,common_features_h,gower_distance,weighted_distance,common_features_g,total_weight
gn,Guarani,85,135,0.6296296296296297,0.623980424143556,135,94.30769230769229
bn,Bengali,28,48,0.5833333333333333,0.5982339955849891,48,34.84615384615386
zu,Zulu,81,140,0.5785714285714285,0.5918045705279744,140,97.6153846153846
ar,Arabic,13,26,0.5,0.48993288590604034,26,22.923076923076927
th,Thai,67,139,0.48201438848920863,0.4767166535122337,139,97.46153846153848
zh-CN,Chinese (Simplified),71,152,0.4671052631578947,0.4588323353293414,152,102.76923076923079
hmn,Hmong,55,121,0.4545454545454546,0.4480578139114719,121,85.1538461538461
gd,Scottish Gaelic,25,57,0.4385964912280702,0.4442567567567567,57,45.538461538461554
hi,Hindi,57,138,0.4130434782608695,0.41907051282051266,138,95.99999999999999
he,Hebrew,55,141,0.3900709219858156,0.3963893249607534,141,97.99999999999999
it,Italian,21,81,0.2592592592592593,0.25542784163473775,81,60.230769230769226
uk,Ukrainian,14,56,0.25,0.23769100169779278,56,45.30769230769232
