language,gower_distance,common_features,weighted_distance,total_weight
gn,0.6296296296296297,135,0.623980424143556,94.30769230769229
bn,0.5833333333333333,48,0.5982339955849891,34.84615384615386
zu,0.5785714285714285,140,0.5918045705279744,97.6153846153846
ar,0.5,26,0.48993288590604034,22.923076923076927
th,0.48201438848920863,139,0.4767166535122337,97.46153846153848
zh-CN,0.4671052631578947,152,0.4588323353293414,102.76923076923079
hmn,0.4545454545454546,121,0.4480578139114719,85.1538461538461
gd,0.4385964912280702,57,0.4442567567567567,45.538461538461554
hi,0.4130434782608695,138,0.41907051282051266,95.99999999999999
he,0.3900709219858156,141,0.3963893249607534,97.99999999999999
it,0.2592592592592593,81,0.25542784163473775,60.230769230769226
uk,0.25,56,0.23769100169779278,45.30769230769232
