Fid,Value,Feature
26A,2,Prefixing vs. Suffixing in Inflectional Morphology
37A,3,Definite Articles
51A,1,Position of Case Affixes
57A,2,Position of Pronominal Possessive Affixes
81A,3,"Order of Subject, Object and Verb"
82A,2,Order of Subject and Verb
83A,2,Order of Object and Verb
84A,1,"Order of Object, Oblique, and Verb"
85A,2,Order of Adposition and Noun Phrase
86A,2,Order of Genitive and Noun
87A,2,Order of Adjective and Noun
88A,1,Order of Demonstrative and Noun
89A,1,Order of Numeral and Noun
91A,2,Order of Degree Word and Adjective
92A,1,Position of Polar Question Particles
94A,1,Order of Adverbial Subordinator and Clause
95A,4,Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase
97A,4,Relationship between the Order of Object and Verb and the Order of Adjective and Noun
116A,1,Polar Questions
121A,1,Comparative Constructions
143A,1,Order of Negative Morpheme and Verb
143E,1,Preverbal Negative Morphemes
143F,4,Postverbal Negative Morphemes
143G,4,Minor morphological means of signaling negation
144A,9,"Position of Negative Word With Respect to Subject, Object, and Verb"
144B,3,Position of negative words relative to beginning and end of clause and with respect to adjacency to verb
144T,1,The Position of Negative Morphemes in Verb-Initial Languages
144V,1,Verb-Initial with Preverbal Negative
144W,6,Verb-Initial with Negative that is Immediately Postverbal or between Subject and Object
144X,4,Verb-Initial with Clause-Final Negative
