Fid,Value,Feature
14A,1,Fixed Stress Locations
15A,3,Weight-Sensitive Stress
16A,6,Weight Factors in Weight-Sensitive Stress Systems
17A,4,Rhythm Types
26A,2,Prefixing vs. Suffixing in Inflectional Morphology
27A,3,Reduplication
33A,2,Coding of Nominal Plurality
34A,6,Occurrence of Nominal Plurality
36A,4,The Associative Plural
37A,1,Definite Articles
38A,2,Indefinite Articles
41A,2,Distance Contrasts in Demonstratives
42A,1,Pronominal and Adnominal Demonstratives
44A,3,Gender Distinctions in Independent Personal Pronouns
45A,2,Politeness Distinctions in Pronouns
46A,2,Indefinite Pronouns
47A,2,Intensifiers and Reflexive Pronouns
48A,2,Person Marking on Adpositions
49A,1,Number of Cases
50A,3,Asymmetrical Case-Marking
51A,9,Position of Case Affixes
52A,1,Comitatives and Instrumentals
53A,7,Ordinal Numerals
57A,4,Position of Pronominal Possessive Affixes
64A,1,Nominal and Verbal Conjunction
69A,2,Position of Tense-Aspect Affixes
70A,2,The Morphological Imperative
71A,3,The Prohibitive
72A,4,Imperative-Hortative Systems
74A,2,Situational Possibility
75A,1,Epistemic Possibility
76A,1,Overlap between Situational and Epistemic Modal Marking
81A,2,"Order of Subject, Object and Verb"
82A,3,Order of Subject and Verb
83A,2,Order of Object and Verb
85A,2,Order of Adposition and Noun Phrase
86A,2,Order of Genitive and Noun
87A,2,Order of Adjective and Noun
88A,1,Order of Demonstrative and Noun
89A,1,Order of Numeral and Noun
90A,1,Order of Relative Clause and Noun
90C,1,Postnominal relative clauses
91A,1,Order of Degree Word and Adjective
92A,6,Position of Polar Question Particles
94A,1,Order of Adverbial Subordinator and Clause
95A,4,Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase
96A,4,Relationship between the Order of Object and Verb and the Order of Relative Clause and Noun
97A,4,Relationship between the Order of Object and Verb and the Order of Adjective and Noun
100A,2,Alignment of Verbal Person Marking
101A,2,Expression of Pronominal Subjects
102A,2,Verbal Person Marking
103A,2,Third Person Zero of Verbal Person Marking
104A,1,Order of Person Markers on the Verb
105A,1,Ditransitive Constructions: The Verb 'Give'
107A,1,Passive Constructions
112A,2,Negative Morphemes
113A,1,Symmetric and Asymmetric Standard Negation
114A,7,Subtypes of Asymmetric Standard Negation
115A,3,Negative Indefinite Pronouns and Predicate Negation
116A,6,Polar Questions
122A,1,Relativization on Subjects
123A,1,Relativization on Obliques
125A,3,Purpose Clauses
126A,2,'When' Clauses
127A,2,Reason Clauses
128A,2,Utterance Complement Clauses
129A,2,Hand and Arm
130A,2,Finger and Hand
138A,2,Tea
142A,1,Para-Linguistic Usages of Clicks
143A,1,Order of Negative Morpheme and Verb
143E,1,Preverbal Negative Morphemes
143F,4,Postverbal Negative Morphemes
143G,4,Minor morphological means of signaling negation
144A,2,"Position of Negative Word With Respect to Subject, Object, and Verb"
144B,3,Position of negative words relative to beginning and end of clause and with respect to adjacency to verb
144D,2,The Position of Negative Morphemes in SVO Languages
144H,4,NegSVO Order
144I,1,SNegVO Order
144J,7,SVNegO Order
144K,4,SVONeg Order
